"month","account","Total Transfer ins","Total Transfer out","Account Monthly Balance"
1,"10004","5118.72","5400.9","-282.1799999999996"
3,"10004","4605.07","6044.12","-1439.0499999999997"
4,"10004","673.24","5400.9","-4727.66"
6,"10004","4605.07","6113.92","-1508.85"
7,"10004","0","851.24","-851.24"
8,"10004","495.73","0","495.73"
9,"10004","4605.07","4636.48","-31.4099999999994"
11,"10004","1949.86","0","1949.86"
2,"10020","414.87","0","414.87"
6,"10020","135.96","0","135.96"
10,"10020","1718.1","0","1718.1"
12,"10020","1884.62","0","1884.62"
2,"10044","0","1712.22","-1712.22"
6,"10044","1987.77","0","1987.77"
8,"10044","0","1681.69","-1681.69"
9,"10044","0","735.22","-735.22"
11,"10044","0","326.83","-326.83"
12,"10044","807.04","0","807.04"
2,"1005","0","1173.15","-1173.15"
7,"1005","0","151.44","-151.44"
12,"1005","1049.57","0","1049.57"
4,"10089","1107.86","0","1107.86"
5,"10089","294.52","0","294.52"
6,"10133","1409.31","0","1409.31"
7,"10133","0","1239.93","-1239.93"
8,"10133","1508.98","0","1508.98"
9,"10133","847.64","634.09","213.54999999999995"
10,"10133","847.64","634.09","213.54999999999995"
4,"10148","127.71","0","127.71"
5,"10148","1366.08","0","1366.08"
6,"10148","0","1621.86","-1621.86"
7,"10148","559.91","0","559.91"
1,"10174","1628.09","0","1628.09"
5,"10174","1474.59","0","1474.59"
6,"10174","1389.34","0","1389.34"
7,"10174","0","688.91","-688.91"
8,"10174","4272.2","4767.04","-494.84000000000015"
9,"10174","191.73","0","191.73"
10,"10174","993.49","1191.76","-198.26999999999998"
12,"10174","1328.09","1191.76","136.32999999999993"
3,"10253","1401.45","0","1401.45"
1,"10257","491.11","0","491.11"
12,"10257","345.56","0","345.56"
3,"103","1905.62","1734.77","170.8499999999999"
4,"103","1683.87","1219.12","464.75"
5,"103","1462.12","1734.77","-272.6500000000001"
6,"103","1931.61","0","1931.61"
10,"103","1683.87","2250.42","-566.5500000000002"
11,"103","0","881.87","-881.87"
1,"10317","1481.19","320.45","1160.74"
4,"10317","1902.41","320.45","1581.96"
5,"10317","934.53","0","934.53"
6,"10317","1382.94","320.45","1062.49"
7,"10317","334.24","0","334.24"
8,"10317","6157.830000000001","1281.8","4876.03"
9,"10317","0","632.67","-632.67"
10,"10317","0","1277.9","-1277.9"
11,"10317","1633.01","0","1633.01"
12,"10317","1391.29","320.45","1070.84"
3,"10335","235.61","912.7","-677.09"
7,"10335","235.61","22.16","213.45000000000002"
8,"10335","0","816.52","-816.52"
11,"10335","471.22","934.86","-463.64"
2,"1037","1461.63","0","1461.63"
8,"1037","66.28","268.02","-201.73999999999998"
9,"1037","342.18","0","342.18"
12,"1037","885.46","268.02","617.44"
2,"10387","1181.82","0","1181.82"
7,"10387","504.01","122.18","381.83"
8,"10387","1612.59","122.18","1490.4099999999999"
10,"10387","3695.29","366.54","3328.75"
12,"10387","1578.69","122.18","1456.51"
5,"10405","558.71","138.14","420.57000000000005"
6,"10405","558.71","1618.84","-1060.1299999999999"
8,"10405","1254.21","0","1254.21"
10,"10405","1633.17","0","1633.17"
11,"10405","1665.68","0","1665.68"
1,"10410","2119.8","2489.05","-369.2499999999998"
11,"10410","577.86","0","577.86"
12,"10410","24.56","0","24.56"
1,"10421","776.47","0","776.47"
7,"10421","1635.82","0","1635.82"
